,artist_name,track_name,track_id,popularity
4274,Dan + Shay,Christmas Isn't Christmas,6DeGFcrDiYDuyV7e7KnqPd,70
4275,Dan + Shay,From the Ground Up,0lQJBl9YEsoMtE8D4yTE9g,67
4276,Dan + Shay,Speechless,7q7jyVU0f0hnod8tsaUmxg,65
4277,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,94
4278,Tate McRae,One Day,27r2uANqwK7XbsiAZnzf9e,77
4279,Tate McRae,stupid,4k3uABcX9iaGlt5pRJhumi,77
4280,Tate McRae,lie to me,4f9IfFvBFm7Gsf1IVEudyf,79
4281,Tate McRae,that way,7l97ElWmIdVHWUaOeeU5ZC,75
4282,Tate McRae,Teenage Mind,70vdb3Nf9sUaOax5c6phOT,72
4283,SAYGRACE,Boys Ain't Shit (feat. Tate McRae & Audrey Mika),7tMEUrMaMzE0YptCGfsXzt,70
4284,Tate McRae,r u ok,7rq1zCf90CnU7OalBLIgNp,66
4285,Tate McRae,tear myself apart,57m2Kve0xnAgYVAPxMLKHS,66
4286,Tate McRae,vicious (feat. Lil Mosey),7nIPkUEV3HYE7yzXHvGOVB,66
4287,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,85
4288,Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,81
4289,Luke Combs,Better Together,6gdLyYNuhWBzqwlOFSsXC7,80
4290,Luke Combs,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,78
4291,Luke Combs,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,78
4292,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,77
4293,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,76
4294,Luke Combs,Without You,3zxAw8PaqpeGZ3Pakkxv3J,75
4295,Luke Combs,Lovin' On You,0nYvjcSlCgjcwogQAwIwNp,75
4296,Luke Combs,Even Though I'm Leaving,5Fhe63YOMZsGdB3CgCDuBi,75
4297,CJ,Whoopty,5vGLcdRuSbUhD8ScwsGSdA,91
4298,CJ Music,Secret Tunnel,4cjavUBMzPufoKM8718BFv,56
4299,Joey Bada$$,Hardknock,3QbsrWxq3JyNov94VzbNdB,53
4300,CJ,Whoopty,11bH4JJgAPA8XZzE0gtQjQ,51
4301,CJP. New York City Rap Star,Spanish Girl from the East Side,3NL3drhbi7aqrBml15NFzx,46
4302,CJ,On Me,5P0qYlNGFiI3rZoEzxXDGj,53
4303,Summer Salt,Revvin' My Cj7,6PVx8IYQJdeLa2AIJnnFrj,60
4304,Joey Bada$$,Don't Front,24TUPoKOVqKT1hZHV63FUV,47
4305,CJ Music,The Avatar's in Love,1QnKinp31HASMynna89WxM,45
4306,CjayQ,Wonderful Day,6rAUkkM3deCh5yuyaM3Znp,45
4307,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4308,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4309,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4310,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4311,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4312,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4313,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4314,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
4315,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4316,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4317,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4318,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4319,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4320,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4321,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4322,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4323,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4324,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
4325,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4326,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4327,Morgan Wallen,7 Summers,0tbjiOUl4k492KPdWZS9sy,82
4328,Morgan Wallen,Somebody’s Problem,0SErdEdRcVX1uJCf1eTGYH,81
4329,Morgan Wallen,More Than My Hometown,0eBXyY4SatzpE7opnzgXvz,81
4330,Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81
4331,Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,80
4332,Morgan Wallen,Cover Me Up,7Jd0VVrzeTTWipxSzJ81aC,78
4333,Diplo,Heartless (feat. Morgan Wallen),3FU6urUVsgXa6RBuV2PdRk,79
4334,Morgan Wallen,Still Goin Down,096YtKWNRXdmYKFLelSBto,77
4335,Morgan Wallen,This Bar,3746VOqCr3ys3lQdhmDoyH,75
4336,Morgan Wallen,Livin’ The Dream,2L4YgbxxwmwafMqLIjSx8q,75
4337,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,93
4338,Shawn Mendes,Wonder,5KCbr5ndeby4y4ggthdiAb,91
4339,Shawn Mendes,Teach Me How To Love,5LZtB6nxvjIhUoElp3Zqk0,80
4340,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,85
4341,Shawn Mendes,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,83
4342,Shawn Mendes,Call My Friends,6KVxMOxlSYpC5nrvyWhYhx,74
4343,Shawn Mendes,Dream,0bZFa5DZcx9HWx25m2Nd19,74
4344,Shawn Mendes,Higher,7nuQ1LgM6l5FLaJmlODoqj,75
4345,Shawn Mendes,Wonder,6ZuahEctZD6w75peme58hm,76
4346,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),1HbA4N1MiOsPthALesGFR1,77
4347,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4348,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4349,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4350,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4351,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4352,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4353,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4354,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
